poem
"欲出未出光辣达,千山万山如火发.须臾走向天上来,逐却残星赶却月."
"满目江山四望幽,白云高卷嶂烟收.日回禽影穿疏木,风递猿声入小楼.远岫似屏横碧落,断帆如叶截中流."
"片片飞来静又闲,楼头江上复山前.飘零尽日不归去,帖破清光万里天."
"因登巨石知来处,勃勃元生绿藓痕.静即等闲藏草木,动时顷刻徧乾坤.横天未必朋元恶,捧日还曾瑞至尊.不独朝朝在巫峡,楚王何事谩劳魂."
"一气东南王斗牛,祖龙潜为子孙忧.金陵地脉何曾断,不觉真人已姓刘."
"五城楼雉各相望,山水英灵宅帝王.此地定由天造险,古来长恃作金汤."
"孙吴纪德旧刊碑,草没蟠螭与伏龟.惆怅冈头三段石,至今犹似鼎分时."
"金殿分来玉砌流,黑龙湖彻凤池头.后庭花落恩波断,翻与南唐作御沟."
"满目江山异洛阳,昔人何必重悲伤.倘能戮力扶王室,当自新亭复故乡."
"牛头天际碧凝岚,王导无稽亦妄谈.若指远山为上阙,长安应合指终南."
"镇物高情济世才,欲随猿鹤老岩隈.山花处处红粧面,髣髴如初拥妓来."
"人物风流往往非,空余陋巷作乌衣.旧时帘幕无从觅,只有年年社燕归."
"窣堵凝然镇梵宫,举头层级在云中.金棺舍利藏何处,铎绕危簷声撼风."
"阀阅沦亡梐枑移,年年旧燕亦双归.茅簷苇箔无冠盖,不见乌衣见白衣."
"雷轰叠鼓火翻旗,三翼翩翩试水师.惊起黑龙眠不得,狂风猛雨下多时."
"江南龙节水为乡,水不纯阴又半阳.一片湖光共深浅,两般泉脉异温凉."
"流水东西傍帝台,六朝重为两朝开.曾有鹢首知高下,莫问鱼舟识去来."
"昼役人功夜鬼功,阳开阴阖几时终.不闻掷土江中语,争得盈流一水通."
"舳舻衔尾日无虚,更凿都城引漕渠.何事馁来贪雀谷,不知留得几年储."
"竹影桐阴满旧山,凤凰多载不飞还.登台只有吹箫者,争得和鸣堕世间."
"通玄峰顶,不是人门.心外无法,满目青山."
"暂下高峰已显扬,般若圜通遍十方.人天浩浩无差别,法界纵横处处彰."
"来年二月二,与汝暂相弃.烧灰散长江,勿占檀那地."
"社翁今日没心情,为乞治聋酒一瓶.恼乱玉堂将欲徧,依稀巡到第三厅."
"走却坐禅客,移将不动尊.世间颠倒事,八万四千门."
"松萝深处住,闲野不生愁.鸟语烟岚静,水声门户秋.花间归洞路,山下钓鱼舟.沐浴圣王化,自怜丝满头."
"帝里高人宅,苍苔遶径深.卷帘山入户,摘菓鸟移林.石沼养龟水,月台留客琴.生涯一樽酒,名利不关心."
"滔滔东流水,赴海无归期.亭亭右转日,今兹复来兹.人生寄天地,百年七十稀.思虑复营营,恐为达此嗤."
"燕雀贺厦屋,虫蚁慕腥膻.野花引飞蝶,古木来新蝉.秋天百虫吟,春天百鸟喧.翟公真暗事,喜愠见色言."
"明主不弃士,我自志山林.爵服岂无华,才疏力难任.鸟向深山栖,鱼由深渊沉.吾亦爱吾庐,高歌复微吟."
"深岩有老翁,庞眉须鬓雪.夜半呼我名,授我微妙诀.字画古籀样,体势讹复缺.双眸忽炯炯,须臾竟披阅.至今得其传,心会口难说."
"一言寤主宁复听,三谏不从归去来.谏晋主不从作."
"万事若在手,百年聊称情.他时南岳去,记得此岩名."
"十年踪迹走红尘,回首青山入梦频.紫陌纵荣争及睡,朱门虽贵不如贫.愁闻剑戟扶危主,闷见笙歌聒醉人.携取旧书归旧隠,野花啼鸟一般春."
"常人无所重,惟睡乃为重.举世皆为息,魂离神不动.觉来无所知,贪求心愈用.堪笑尘中人,不知梦是梦."
"至人本无梦,其梦本游仙.真人本无睡,睡则浮云烟.炉里近为药,壶中别有天.欲知睡梦里,人间第一玄."
"银河洒落翠光冷,一派回环湛晚晖.几恨却为顽石碍,琉璃滑处玉花飞."
"山鬼煖或呼,溪鱼寒不跳.晚景愈堪观,危峰露残照."
"为爱西峰好,吟头尽日昂.岩花红作阵,溪水绿成行.几夜碍新月,半山无夕阳.寄言嘉遁客,此处是仙乡."
"半夜天香入岩谷,西风吹落岭头莲.空爱掌痕侵碧汉,无人曾叹巨灵仙."
"药苗不满笥,又更上危颠.回指归去路,相将入翠烟."
"曾折松枝为宝栉,又编栗叶作罗襦.有时问著秦宫事,笑撚仙花望太虚."
